post_url,linkedin_time,time_stamp,profile_link
https://www.linkedin.com/posts/mwaseemzakir_fluent-validation-in-net-ugcPost-7204792074024501248-6r8x?utm_source=share&utm_medium=member_desktop,2w,2024-06-07 10:31,https://www.linkedin.com/in/hassan-qaiser-3686b0169/
https://www.linkedin.com/feed/update/urn:li:activity:7095614513944682496?utm_source=share&utm_medium=member_desktop,10mo,2023-08-11 03:58,https://www.linkedin.com/in/hassan-qaiser-3686b0169/
https://www.linkedin.com/posts/hassan-qaiser-3686b0169_multiplepositions-activity-6981496803678425088-3eXy?utm_source=share&utm_medium=member_desktop,1yr,2022-09-30 06:15,https://www.linkedin.com/in/hassan-qaiser-3686b0169/
https://www.linkedin.com/posts/hassan-qaiser-3686b0169_im-happy-to-share-that-im-starting-a-new-activity-6954457954892812288-Hkcl?utm_source=share&utm_medium=member_desktop,1yr,2022-07-17 15:33,https://www.linkedin.com/in/hassan-qaiser-3686b0169/
https://www.linkedin.com/posts/hassan-qaiser-3686b0169_hiring-activity-6933428260483526656-QyNu?utm_source=share&utm_medium=member_desktop,2yr,2022-05-20 14:48,https://www.linkedin.com/in/hassan-qaiser-3686b0169/
https://www.linkedin.com/posts/hassan-qaiser-3686b0169_hiring-activity-6886669986627166208-Ryyl?utm_source=share&utm_medium=member_desktop,2yr,2022-01-11 14:07,https://www.linkedin.com/in/hassan-qaiser-3686b0169/
https://www.linkedin.com/posts/qualman_in-case-you-missed-it-on-last-weeks-super-activity-7203425704116441089-Uc_5?utm_source=share&utm_medium=member_desktop,2w,2024-06-03 16:02,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_focus-podcast-activity-7201961108025319424-8wmI?utm_source=share&utm_medium=member_desktop,3w,2024-05-30 15:02,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_in-case-you-missed-it-on-last-weeks-super-activity-7201715548970233857-Cs2i?utm_source=share&utm_medium=member_desktop,3w,2024-05-29 22:46,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_girl-suicide-rates-have-increased-by-87-activity-7199850805774999552-yAA1?utm_source=share&utm_medium=member_desktop,4w,2024-05-24 19:16,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_spring-comics-flowers-activity-7175879453615513600-6AFh?utm_source=share&utm_medium=member_desktop,3mo,2024-03-19 15:43,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_startups-leanstartups-personalbranding-activity-7174503515833135105-AOVU?utm_source=share&utm_medium=member_desktop,3mo,2024-03-15 20:35,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_comic-funny-busy-activity-7174426685516263426-kHPm?utm_source=share&utm_medium=member_desktop,3mo,2024-03-15 15:30,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_the-aba-team-is-rocking-their-erik-qualman-activity-7169359258973560833-Y6hA?utm_source=share&utm_medium=member_desktop,3mo,2024-03-01 15:54,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_speakinc-erik-qualman-rich-gibbons-keynote-activity-7167989969540640770-3C9V?utm_source=share&utm_medium=member_desktop,3mo,2024-02-26 21:13,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_msft-nvda-google-activity-7167198931414700033-kwn9?utm_source=share&utm_medium=member_desktop,3mo,2024-02-24 16:49,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_its-not-every-day-you-get-to-swap-stories-activity-7160474971184467968-B3SE?utm_source=share&utm_medium=member_desktop,4mo,2024-02-06 03:31,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_do-you-feel-your-kids-are-reading-less-activity-7137569769762758657-SdgL?utm_source=share&utm_medium=member_desktop,6mo,2023-12-04 22:34,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_funfacts-didyouknow-digital-activity-7126206759303569408-clAs?utm_source=share&utm_medium=member_desktop,7mo,2023-11-03 14:01,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_halloween-funny-meme-activity-7125149784285315072-XTPf?utm_source=share&utm_medium=member_desktop,7mo,2023-10-31 16:01,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_funny-halloween-meme-activity-7120861378713702400-86vt?utm_source=share&utm_medium=member_desktop,8mo,2023-10-19 20:00,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_industrialautomation-smartmanufacturing-siemensdigitalindustries-activity-7118651082897035264-tKyJ?utm_source=share&utm_medium=member_desktop,8mo,2023-10-13 17:37,https://www.linkedin.com/in/qualman/
https://www.linkedin.com/posts/qualman_comics-funny-activity-7118324649926504448-7W5-?utm_source=share&utm_medium=member_desktop,8mo,2023-10-12 20:00,https://www.linkedin.com/in/qualman/
